Date,"Open Price","Close Price","High Price","Low Price",Volume
19/07/2013,6634.36,6630.67,6635.22,6592.1,687327488
22/07/2013,6630.67,6623.17,6645.01,6608.17,430263808
23/07/2013,6623.17,6597.44,6657.66,6597.44,578085888
24/07/2013,6597.44,6620.43,6662.19,6581.61,564700032
25/07/2013,6620.43,6587.95,6625.35,6540.42,486181120
26/07/2013,6587.95,6554.79,6629.89,6535.18,417851520
29/07/2013,6554.79,6560.25,6606.36,6544.14,470313152
30/07/2013,6560.25,6570.95,6600.72,6560.25,688955392
31/07/2013,6570.95,6621.06,6659.35,6556.65,640163712
01/08/2013,6621.06,6681.98,6681.98,6607.27,954611456
02/08/2013,6681.98,6647.87,6696.63,6623.85,626958400
05/08/2013,6647.87,6619.58,6684.95,6590.1,589505344
06/08/2013,6619.58,6604.21,6630.14,6562.32,628298304
07/08/2013,6604.21,6511.21,6624.99,6511.21,624139712
08/08/2013,6511.21,6529.68,6558.59,6507.24,535835328
09/08/2013,6529.68,6583.39,6601.21,6529.48,615169536
12/08/2013,6583.39,6574.34,6598.39,6547,460246688
13/08/2013,6574.34,6611.94,6620.43,6568.44,537940800
14/08/2013,6611.94,6587.43,6627.96,6582.58,602573696
15/08/2013,6587.43,6483.34,6587.88,6460.12,632435776
16/08/2013,6483.34,6499.99,6502.27,6461.3,615527424
19/08/2013,6499.99,6465.73,6506.59,6457.73,438386816
20/08/2013,6465.73,6453.46,6465.73,6398.63,604884416
21/08/2013,6453.46,6390.84,6453.55,6386.72,570917312
22/08/2013,6390.84,6446.87,6468.88,6390.62,487800000
23/08/2013,6446.87,6492.1,6516.71,6422.35,475411456
27/08/2013,6492.1,6440.97,6494.2,6424,686885248
28/08/2013,6440.97,6430.06,6440.97,6393.65,696986944
29/08/2013,6430.06,6483.05,6500.51,6429.95,860943616
30/08/2013,6483.05,6412.93,6502.19,6409.6,758355840
02/09/2013,6412.93,6506.19,6532.3,6412.93,541175424
03/09/2013,6506.19,6468.41,6523.16,6456.95,727235456
04/09/2013,6468.41,6474.74,6486.4,6423.51,644177792
05/09/2013,6474.74,6532.44,6543.22,6461.68,697821376
06/09/2013,6532.44,6547.33,6568.18,6492.49,567496576
09/09/2013,6547.33,6530.74,6555.86,6508.76,563722624
10/09/2013,6530.74,6583.99,6599.51,6530.74,697344000
11/09/2013,6583.99,6588.43,6589.85,6559.72,672899456
12/09/2013,6588.43,6588.98,6606.12,6558.61,594425600
13/09/2013,6588.98,6583.8,6588.98,6561.78,483740224
16/09/2013,6583.8,6622.86,6652.66,6583.8,552824576
17/09/2013,6622.86,6570.17,6623.04,6570.17,1141151616
18/09/2013,6570.17,6558.82,6587.58,6532.5,691202624
19/09/2013,6558.82,6625.39,6659.12,6558.82,760780992
20/09/2013,6625.39,6596.43,6629.93,6594.17,1491614592
23/09/2013,6596.43,6557.37,6601.53,6542.67,588785216
24/09/2013,6557.37,6571.46,6585.4,6549.92,635258048
25/09/2013,6571.46,6551.53,6587.97,6526.42,787510720
26/09/2013,6551.53,6565.59,6580.94,6535.78,543359040
27/09/2013,6565.59,6512.66,6568.94,6487.3,540388032
30/09/2013,6512.66,6462.22,6512.66,6438.72,644276864
01/10/2013,6462.22,6460.01,6466.3,6424.37,592063168
02/10/2013,6460.01,6437.5,6460.01,6386.18,567415424
03/10/2013,6437.5,6449.04,6472.43,6436.21,598212928
04/10/2013,6449.04,6453.88,6473.58,6428.96,509149984
07/10/2013,6453.88,6437.28,6453.88,6391.47,472032512
08/10/2013,6437.28,6365.83,6437.73,6364.97,605251008
09/10/2013,6365.83,6337.91,6372.63,6316.91,581865856
10/10/2013,6337.91,6430.49,6446.22,6337.91,583126336
11/10/2013,6430.49,6487.19,6489.16,6430.47,526227232
14/10/2013,6467.37,6507.65,6507.8,6464.44,432853280
15/10/2013,6507.65,6549.11,6569.28,6507.65,562436032
16/10/2013,6549.11,6571.59,6584.39,6504.27,582748352
17/10/2013,6571.59,6576.16,6576.16,6529.16,605072128
18/10/2013,6576.16,6622.58,6622.7,6576.16,704888896
21/10/2013,6622.58,6654.2,6654.2,6617.81,467078944
22/10/2013,6654.2,6695.66,6719.27,6653.7,571206208
23/10/2013,6695.66,6674.48,6695.92,6655.2,630616064
24/10/2013,6674.48,6713.18,6719.25,6674.16,590050560
25/10/2013,6713.18,6721.34,6729.74,6700.37,561828160
28/10/2013,6721.34,6725.82,6739.66,6704.15,586108992
29/10/2013,6725.82,6774.73,6777.16,6718.85,773654656
30/10/2013,6774.73,6777.7,6819.86,6763.66,648574528
31/10/2013,6777.7,6731.43,6778.27,6719.51,734231168
01/11/2013,6731.43,6734.74,6760.87,6715.3,669495424
04/11/2013,6734.74,6763.62,6780.11,6734.56,501699744
05/11/2013,6763.62,6746.84,6773.86,6708.52,718615872
06/11/2013,6746.84,6741.69,6768.16,6735.64,626808960
07/11/2013,6741.69,6697.22,6779.18,6679.99,636655296
08/11/2013,6697.22,6708.42,6713.9,6643.86,589977408
11/11/2013,6708.42,6728.37,6744.77,6702.01,624370368
12/11/2013,6728.37,6726.79,6728.37,6693.26,583231808
13/11/2013,6726.79,6630,6726.81,6613.98,695023424
14/11/2013,6630,6666.13,6696.16,6630,615308864
15/11/2013,6666.13,6693.44,6703.12,6665.45,579947456
18/11/2013,6693.44,6723.46,6732.1,6671.63,503386208
19/11/2013,6723.46,6698.01,6723.46,6677.85,498969312
20/11/2013,6698.01,6681.08,6711.42,6661.7,553127488
21/11/2013,6681.08,6681.33,6697.69,6643.47,481377792
22/11/2013,6681.33,6674.3,6711.03,6661.04,494888384
25/11/2013,6674.3,6694.62,6709.08,6674.3,454214080
26/11/2013,6694.62,6636.22,6696.95,6636.22,822950528
27/11/2013,6636.22,6649.47,6664.14,6635.71,600783232
28/11/2013,6649.47,6654.47,6679.51,6642.57,459217024
29/11/2013,6654.47,6650.57,6681.57,6648.53,532437600
02/12/2013,6650.57,6595.33,6657.41,6595.2,550660416
03/12/2013,6595.33,6532.43,6595.48,6531.34,682695424
04/12/2013,6532.43,6509.97,6544.7,6479.73,775556224
05/12/2013,6509.97,6498.33,6518.88,6487.15,554025088
06/12/2013,6498.33,6551.99,6555.73,6496.33,556843648
09/12/2013,6551.99,6559.48,6568.44,6534.74,503682144
10/12/2013,6559.48,6523.31,6571.91,6519,551026304
11/12/2013,6523.31,6507.72,6555.57,6507.72,521077440
12/12/2013,6507.72,6445.25,6507.72,6435.99,660172736
13/12/2013,6445.25,6439.96,6462.76,6433.51,670891456
16/12/2013,6439.96,6522.2,6531.16,6422.23,588865408
17/12/2013,6522.2,6486.19,6522.2,6482.59,580607936
18/12/2013,6486.19,6492.08,6524.46,6486.19,527437472
19/12/2013,6492.08,6584.7,6584.7,6492.08,644188672
